,Name,Comments,Likes,Replies,Published
40,Rapsodi - JKT48,"This trailer stands out from every other trailer we’ve gotten in a long time. It’s emotional, elegant and touched our heart. So it makes sure to not reveal too much while telling you what the movie is about. Just let it be this is perfect.

RIP Chadwick",2.7K, 31 replies,21 hours ago
41,Ravi Raj,You can watch this teaser a thousand times and still would want more of it.. the meta reference to Chad will put tears in every eye.. Angela's heartwarming cry is coming straight from her heart as if she represents all of us in paying homage to the great warrior king.. Rest in Power one and only .. Black Panther.. The best teaser and the best movie of MCU.. hands down..,24,0 reply,12 hours ago
42,K R,"The amount of goosebumps I got watching the trailer it has already become an inseparable emotion, it's another masterpiece ️️ miss you forever hero king of wakanda... I'm sure your reign will be protected on screen and definitely in our hearts ",2,0 reply,7 hours ago
43,Candace Pearson,"I'm almost in tears . Chadwick we miss you, RIH. Definitely supporting this film to the fullest ️. Wakanda Forever",6,0 reply,9 hours ago
44,D-Unit,"I hope it's good, there's some cool stuff here, but I'm just not as excited about the upcoming Marvel stuff as I used to be.  I'm a little burned out on it, but out of all the stuff they showed at comic con, this looks the best",33,1 reply,12 hours ago (edited)
45,mysterypelican,i really hope they don’t release too much with the upcoming trailers. like it would be amazing if they keep the new black panther a secret. i love the music in this trailer as well. nice job marvel,3,0 reply,7 hours ago
46,Jas Dabla,"The line “ I am the queen of the most powerful nation in the world, and my entire family is gone.  Have I not given everything” was epic can’t wait for the movie",1.5K, 12 replies,1 day ago
47,tigerstormAU,“And my entire family is gone! Have I not given everything?” I felt that “POWER”,17,0 reply,6 hours ago (edited)
48,Shaniqua Walthour,Y'all better show out when this movie hits theaters everywhere. ,3,0 reply,1 hour ago
49,Christopher Jennings,"Some trailers come along that you watch over and over and are so powerful every time. Avengers Endgame was one. Wakanda Forever is another. I would not be at all surprised if, when its all said and done, this movie breaks the avengers endgame box office amounts. So powerful, so beautiful, so amazing. What makes this even more powerful and how it will break records is Chadwick himself . We will miss you. Such a perfect way to honor such an amazing and incredible human being. Can't wait",2,0 reply,1 hour ago
50,Julia Margarethe,"When the whole comment section is sobbing and wishing Chadwick Rest in Power- I get why im crying too, its a really beautiful teaser from the mourning a life and celebrating a new one",7,0 reply,11 hours ago
51,Wild Wesley,"If the score is 1/10th as good as it is in this teaser, I’m going to have goosebumps the entire time",3,0 reply,10 hours ago
52,George McNeese,"The mural of Chadwick Boseman as Angela Bassett says, “…and my entire family is gone,” hit me so hard. This trailer is awesome, moving, and emotional, all at once. I have no doubts this sequel will be awesome in its own way.",1.7K, 10 replies,3 days ago
53,Mysterious Music,After a few seconds of this teaser I really cried. This movie is going to be a masterpiece. ,23,0 reply,9 hours ago
54,Claira-𝐹**СК МЕ - СНЕ𝒞𝒦 𝑀𝒴 Р𝑅𝟢𝐹𝐼𝐿Е,You know the trailer is next level when it gives you goosebumps and brings you to tears at the same time. Rest in Power Chadwick,6,0 reply,7 hours ago
55,cat,I literally got chills and cried to this.I’m nervous and excited for this movie RIP Chadwick boseman,2,0 reply,1 hour ago
56,Princess Serenity,AMAZING.... OMG....I actually clapped after this trailer ended.....props to the creator...this is going to be an amazing film...,2,0 reply,1 hour ago
57,jamjam blue,This is the best trailer in the whole multiverse. Hope the entire movie will live up to the expectation,2,0 reply,12 hours ago
58,wolfenstar nice,"The soul, the heart everything about this screams love! I well always remember how the first movie impacted the community and I cannot wait for the release of the second.",1,0 reply,15 minutes ago
59,Stephanie Black,I’m absolutely happy they chose to honor Chadwick’s legacy openly with this sequel and seeing the Aztec/Mayan influences in this adds another level of excitement! A brilliant teaser,2.4K, 46 replies,1 day ago
60,Mumin Rafiu,"One might be cynic about this trailer, but the nostalgia on the previous movie is enough to make you wanna give BP2 all 5 stars. Masterpiece !



Rest in power legend",1,0 reply,3 hours ago
61,LongLiveUli13,This gave me chills  can’t wait. RIP Chadwick Boseman ,4,0 reply,5 hours ago
62,Sunny247,"If the movie is as epic as this trailer, then I'm ALL IN!!",2,0 reply,2 hours ago
63,To Unbecome 101,Maaaan…the whole nation is about to drop tears. Ready to see what the fam has done for the culture. You can already tell it’s a masterpiece ,1,0 reply,3 hours ago
64,tharani dharan,We could feel so much emotion in this short Teaser.Hands down one of the best teasers.,1,0 reply,42 minutes ago
65,Brandon Chavez,I can't stop watching this trailer and I can't count the number of times I cried.  It really has me excited despite Chadwick not being apart of it. I hope they have something special to honor him because he showed so much passion for the character,0,0 reply,3 hours ago (edited)
66,Katt Luna,You know the movie will be amazing if the trailer brings you to tears,2,0 reply,4 hours ago
67,Quaid T,And you know when you see greatness you have a feeling that can't be describe and this will be one of the greatest marvel movies of all time. Wakanda Forever,0,0 reply,1 hour ago (edited)
68,Roy,"Wow, just wow, one of the best trailers I've seen in a long time, and that transition to Kendrick was just straight fire.",3,0 reply,13 hours ago
69,Jinal Oswal,Watched the trailer with teary eyes and goosebumps.. it's remarkable how  Chadwick Boseman brought life to Black Panther and imagining Wakanda without him is breaking my heart.. May he R.I.P.,1,0 reply,9 hours ago
70,Aster Wesselink,"I love the transition from the mourning of the end of one life to the celebration of the beginning of a new life, so beautiful",1.2K, 9 replies,1 day ago
71,Anuska Bhatta,"Finally. Finally. The best MCU film is getting its sequel. Will never be the same without our king, but I have high hopes.",2,0 reply,11 hours ago
72,Chaser_ Allelujah,"I can’t tell y’all how many times I have watched this trailer and have cried each time I watched it. If not for song playing, the fact of Chadwick’s passing and how it affects everyone, not just the cast on this movie but everyone who knew and loved his work. This movie hits harder for me because it’s close to my father’s birthday, who has already passed and who’s death I have never gotten over. I’m gonna have to remember to bring a box of tissue when I watch this in the theaters.",0,0 reply,1 hour ago
73,CR Official,And that's only a teaser... Imagine what masterpiece awaits!,2,0 reply,12 hours ago
74,Chantara27,"The remarkable transition from Tems version of Bob Marley's 'No woman, no cry' to Kendrick Lamar's 'Alright' gave me goosebumps.",3,0 reply,4 hours ago
75,Sonia’s Way,"The visuals, the music, the tension, the suspense - all are perfectly balanced. I’m so excited for this, can’t wait to watch",1.2K, 11 replies,19 hours ago
76,Jyothis Jose,Never have I seen such a thrilling and exciting movie trailer from MARVEL after ages!,2,0 reply,13 hours ago
77,mateo vasquez londono,Me puso la piel de gallina,2,0 reply,4 hours ago
78,Ardemis Prime,"When I heard Kendrick go ""uh and when I wake up...."" And the claws came out....

Straight goosebumps. This movie is gonna be crazy.",4,0 reply,7 hours ago
79,Guardians of Universe,One of the most emotional and wonderful teaser ever,5,0 reply,11 hours ago
80,Wally Herrera,"I didn't know when anything could beat the emotion of the Logan trailer, this topped it.  Well done, can't wait to see this.",1,0 reply,8 hours ago
81,Aku Obi,The music choice on this is so beautiful. The loss of Chadwick Boseman is really felt and acknowledged. I'm glad they're continuing this story with that in mind. Lots of tears shed from this trailer alone.,3K, 16 replies,1 day ago
82,Killa K2death,"This trailer spoke to me, in a way I haven't been spoken to, in a kind time, it made me feel like even though we've lost those we love, and life is hard, for those who love, everything's gonna be alright.",0,0 reply,27 minutes ago
83,R David,I’ve watched this so many times and each time is goosebumps and tears. Give Angela Bassett her Oscar!! ,2,0 reply,2 hours ago
84,Khodera Coleman,"I love the fact that the actors and actresses drew off of emotions to create this movie, which may be some of the best acting a Marvel movie has had up to this point.",0,0 reply,4 hours ago
85,mjpavon,And THAT is how you make a movie trailer. Covered in goosebumps!,2,0 reply,5 hours ago
86,Native Creation,"This is all the feels, bringing it home and raising the bar.",1,0 reply,2 hours ago
87,WesleyTRV // Wesley Vianen,"""Death is not the end.""
                     -Black Panther

Rest in peace, king. Wakanda Forever.",3.9K, 66 replies,3 days ago (edited)
88,~ eunique was here ~,"We still miss you Chadwick, you have made a great impact on marvel, and as the movie is called
Wakanda Forever.",3,0 reply,12 hours ago
89,tanya talley,"Boy, I was in tears, so excited to see this movie in November.   I have placed it on the calendar already (November 11, 2022.  If I could buy tickets today, I would be doing it.  RIP Chadwick (Black Panther) Boseman.",1,0 reply,4 hours ago
90,kevin layne,"Thanks to Ryan , Ludwig and the entire Marvel team (producers, cast & crew), we have witnessed greatness. Other than this being one of, if not the most beautiful, powerful and emotional teasers of all time, the most poignant and relevant words as a siren call to black peoples around the world, the words that will ultimately unlock our infinite power are left right to the end when Kendrick says “uh, and when I wake up!”. Deep, on way to many levels.",1,0 reply,15 minutes ago (edited)
91,Chrystal Simmons,I can't wait to see this. Such a beautiful trailer.,1,0 reply,11 hours ago
92,Sam Alam,It's just me or this trailer is epic!,3,0 reply,9 hours ago
93,Рустамжон Ильясов,"I love the choice of editing in this trailer. No spoken lines to ponder about, just outstanding sound design, thrilling music, and the one powerful line of miss Angela Basset. This is the power of the Black Panther. This is a tribute to Chadwick Boseman, not just another movie.",3.4K, 46 replies,2 days ago
94,roe85,"No matter how many times I watched this, it still gives me the chills. R.I.P Chadwick",0,0 reply,1 hour ago (edited)
95,Astral,Just have a feeling that whatever people said about phase 4 this film is going to change everyone's opinion.,11, 2 replies,13 hours ago
96,SpliffBunni,"Cried during the trailer, this movie is gonna make me bawl I already know",2,0 reply,8 hours ago
97,8999Greg,The first one was so good I went and saw it twice in theatres I wonder how many times I’ll go and watch this one ! Rip chad you were so loved and respected.,2,0 reply,5 hours ago
98,Fallsleepindream,One of the best trailer from Marvel so far. Who’s with me?,3,0 reply,9 hours ago
99,Nihar Shambharkar,"The beauty of this trailer the visuals, the cinematography, the dialogues, the soundtrack everything is top notch only thing missing is Chadwick Boseman , Rest is Peace sir, you will always our Black Panther !!",755, 3 replies,17 hours ago
100,Sassy slug,Easily the best marvel trailer we have ever had,3,0 reply,12 hours ago
101,Adrianisgoofy,Black panther is really in a special part in my heart. Watching it the first time in the theaters was magical. I’m watching this straight when it comes out in the theaters.,0,0 reply,1 hour ago
102,Prabhakaran J Prabha,With tears in my eyes.Boseman will live forever.,2,0 reply,10 hours ago (edited)
103,Michaela Ernst,This is what MARVEL should be!!!,2,0 reply,7 hours ago
104,Hrishabh Thakur,"Whoever made that teaser, give him a raise, an award whatever you may. This man made one of the most emotional teasers of all time right here.",1.9K, 30 replies,3 days ago
105,Krittika Maitra,I just watching the trailer again and again... Every time I got goosebumps,1,0 reply,9 hours ago
106,Sujal Xettri Official,Rest in peace Chadwick Boseman our Black Panther  Wakanda Forever ,3,0 reply,11 hours ago (edited)
107,aridae,When I tell you this gave me goosebumps it gave me GOOSEBUMPS,1,0 reply,7 hours ago
108,Cailen J,This hurt to watch yet it was beautiful. We love & miss you Chadwick you were a real life hero.,0,0 reply,50 minutes ago
109,Dheeraj Dadlani,Black panther can never be the same without Chadwick Boseman. RIP my friend.,2,0 reply,8 hours ago
110,Amartya Pardeshi,"Oh dear Marvel, please don't mess this up, this sequel deserves to be done with utmost respect, dedication, creativity and  that level of artistic skills/quality Marvel is known for. Rest in peace our King.",2.6K, 80 replies,1 day ago
111,Henrique Alex,Aguardando ansiosamente,1,0 reply,5 hours ago
112,unter,"Aw Chadwick,  may you've been at peace this whole time and continue to rest peacefully.I trust Marvel they'll do right by him and have produced a good film in his honor",0,0 reply,13 hours ago
113,Sagar Parcha,"When the last line comes ""And when I wake up"" I really felt that Chadwick should wake up tooRIP KING",2,0 reply,10 hours ago
114,Shanu Dasan,This trailer.. Oh my god.. So emotional and powerful. Wow. Just wow.,1,0 reply,11 hours ago
115,Jonah,"It won't be the same, and you know why, but still we look forward to what I think already is a masterpiece

️️",0,0 reply,7 hours ago
116,Dr.C,"Even though it's just a trailer, I can feel the Queen's anguish. It is so hard to get through the pain of loss especially when you are not supposed to be the last one standing. At some point in our lives we will feel what she feels. And that picture of Chad at 1:29 is just so chilling that it shook the apathy right out of me. No movie is perfect, but this trailer was.  Wakanda Forever!",3.3K, 43 replies,3 days ago
117,Charlize,Can't wait to watch. The visuals are insane,1,0 reply,11 hours ago
118,Carlos Sosa,This is the best Teaser MCU has ever released.,3,0 reply,10 hours ago
119,Aditi Pandey,this gave me goosebumps literally!!,0,0 reply,6 hours ago
120,More Lucas1144,This low key looks like one of the best mcu movies !,1,0 reply,2 hours ago
121,Katina Draper,"Beautiful, I've watched this trailer multiple times, I'm obsessed with it now that they're having Aztec/Maya representation",1,0 reply,9 hours ago
122,David Emanuel Rosini,"Honestly, this should just be the trailer.

It shows just enough to know what we're in for, doesn't spoil the action scenes, and gets us pumped to see it. Don't need another trailer.",1.9K, 22 replies,3 days ago
123,Matthew Mertens,Just watched this for the first time while on break at work and now all of my co workers are wondering why I’m bawling my eyes out,0,0 reply,5 hours ago (edited)
124,Loki,"Each time I watch this ,it gives me ghoosebumups Wakand Forever",1,0 reply,13 hours ago (edited)
125,Yallknowtk,This movie going to be legendary! Wow. I’m already clapping just at the trailer.,0,0 reply,7 hours ago
126,Nishant Rathod,"Most beautiful teaser 
Women don't cry to Everything gonna be alright such an amazing detail that Wakanda will never fallWakanda Forever ",0,0 reply,9 hours ago
127,Jabes Hernandez,This Marvel movie looks more like a movie with superheros rather than a superhero movie. The emotions from every character and the visuals look incredible. I’m so freaking excited for this movie,1,0 reply,2 hours ago
128,Aaliyah Gibson,"“I am queen of the most powerful nation in the world, and my entire family is gone, have I not given everything.” Angela Basset always puts everything she has in her for every role she plays. Can’t wait to watch️",3.5K, 45 replies,3 days ago
129,Charlie Couture,"Rest In Peace Chadwick Bozeman “My King, Wakanda Forever!”",3,0 reply,4 hours ago
130,niel arriba,Thank you Marvel for another sequel! Wakanda FOREVER!!! ,0,0 reply,13 hours ago
131,Metalrug,Wow just amazing they don’t disappoint when it comes to black Panther ️️ chadwick Bozeman RIP you continue living on through black panther and in our hearts,1,0 reply,7 hours ago
132,Georgios Iosifidis,"So far Disney's (Marvel) best trailer, visually and music! Well done!!!",2,0 reply,7 hours ago
133,Xever White,Can we take a moment on how Marvel puts the effort in Black Panther.,1,0 reply,8 hours ago
134,Nathan Frisch,"This is honestly one of the only marvel trailers that have had me going back to it. Not to dissect or look for clues but to simply experience again. The music, the visuals, the only speaking line being so powerful and so full of emotion. I’m so excited to see it, though bitter sweet. Mr. Chadwick graced us with an incredible performance before his passing and  I know many share the sentiment that it won’t be the same, but having seen this….I have optimism that we will be treated to a hell of a show. I hope he watches, wherever he is, with a bright smile.",1.9K, 27 replies,2 days ago
135,Michael Miko,We all miss you Chadwick BosemanRest In PeaceMiss to see you to play role as Black Panther,1,0 reply,12 hours ago
136,Magnus Mattiacci,REST IN POWER KING T'CHALLA!!! MAY YOU ROAM THE VAST PLAINS OF THE AFTER LIFE AND IN OUR HEARTS FOREVER! GONE... NEVER TO BE FORGOTTEN!!! WAKANDA FOREVER!!!,1,0 reply,4 hours ago
137,Jonathan Arrindell,Alooooong the Waaaaaay .... That part!! GOOSEBUMPS!,2,0 reply,6 hours ago
138,katrin paola VMA,I got chills while watching this .,1,0 reply,9 hours ago
139,RockPopper,"The song instantly reminded me of Boney M.  

Oh how phenomenal and impactful they were especially in my state in India. There songs are still played every Christmas here.",0,0 reply,1 hour ago
140,Oba Razzak,If the trailer is anything to go by this next installment will surely be a masterpiece. I seriously cannot wait eeeekkk!!!,2,0 reply,4 hours ago
141,C wiz,"This is really powerful  I watched it at work , me & my co-workers were blown away R I P Chadwick",0,0 reply,4 hours ago
142,Kyle Christine,I'm certain this movie will honor Chadwick Boseman and his superior legacy as T'Challa. He would be proud. And I'm interested in seeing what they do with Namor as the villain and his arc throughout the future in the MCU.,0,0 reply,3 hours ago
143,Simone Félix,Só powerful! I’m streaming tears ,2,0 reply,12 hours ago
144,Mad Dad Lad,"I know it has been said a million times already but whoever was behind the song choice for this trailer needs a flipping raise, promotion or both! The transition from NWNC to Alright was beautiful!! Then Angela Bassett went that hard and I'm calling it now she's gonna have one of the best performances of her career with this film!",0,0 reply,6 hours ago
145,Japonego,"Cara, foi de arrepiar todos os pelos do corpo.Simplesmente demais.",128, 2 replies,1 day ago
146,Piyush Kumar,Been waiting for this for so long. Amazing ,0,0 reply,3 hours ago
147,The Ultimate Masters,"A true masterpiece 

(And that's just the trailer!)",1,0 reply,2 hours ago
148,Michelle C,Props for everyone on set and in this movie. Really cannot imagine how they managed to film this without tearing up everyday for a losing Chadwick Boseman who truly embraced the role of black panther… bc I can’t even get through the trailer without moist eyes.,0,0 reply,6 hours ago
149,Quadir Jackson,Marvel y’all put y’all heart in this one ,1,0 reply,12 hours ago
150,Anthony_Mrtz,Man if for some reason there’s a goodbye or thank you message form Chadwick or a remembering Chadwick at the end… The movie will definitely make me cry more than the trailer already has.,0,0 reply,3 hours ago
151,Sanjeev Pratap Singh,"This is not just a teaser, it's a heartfelt tribute to Chadwick Boseman ️",1.4K, 30 replies,3 days ago
152,Shai,I believe this movie can make Marvel great again.,1,0 reply,6 hours ago
153,Umair Raza,I loved the whole trailer,0,0 reply,13 hours ago
154,NotYayo,"So beautiful,  I am so excited ️‍",1,0 reply,6 hours ago
155,alka,"Goosebumps , teary eyes This is marvelous",0,0 reply,13 hours ago
156,Briana Garcia,Ugh I started to tear up before I clicked . I can’t believe we lost such a beautiful soul so soon,0,0 reply,7 hours ago
157,X21,"Now this is what ""show don't tell"" looks like, exactly what a trailer or ""teaser"" should be, and that line delivery is an Oscar moment on its own, very powerful, well done.",2.7K, 14 replies,2 days ago
158,Tails,"I frikin love the soundtrack to this! Awesome cover of a classic! Going through a really hard time in my life at the moment. ""My entire family has gone. Have I not given everything?!"" But hey ""everything's gonna be alright!""",1,0 reply,2 hours ago
159,David Crossen,"Rest in peace Chadwick, truly one of the best actors of our time.",0,0 reply,3 hours ago
160,Lil Nicky Da Baddest,This is a beautiful trailer can’t wait to watch,0,0 reply,9 hours ago
161,Jarif,"Totally agreed! I hope this channel never ends and keeps spreading happiness. Whoever is reading this, I hope this day will be a great day. I pray whoever reads this right now, may you get everything you wish.",0,0 reply,11 hours ago
162,David Robinson,"I'm literally in tears right now!!!
I can't wait!!!",1,0 reply,1 hour ago
163,nexus,"This was probably the most visually stunning trailer in all of phase 4. The music, the visuals were top notch. Hopefully this restores Chadwick Boseman's legacy so hyped ",1.7K, 22 replies,3 days ago
164,Djamel Daqassi,Wakanda for ever ,0,0 reply,10 hours ago
165,Gabriela Stankova,That movie will be a great tribute to our king. Rest in power your majesty - your legacy will live forever in out hearths.,1,0 reply,8 hours ago
166,Alex Chen,This trailer is the definition of what all movie trailers should strive for. Gave us so little but so much all at the same time. ,1.4K, 13 replies,3 days ago (edited)
167,Sebastian Flores,"The trailer looks awesome, so please Disney let the movie be good too...",2,0 reply,13 hours ago
168,Tyrell Chibvongodze,It's goosebumps on goosebumps for me. And to see a sister do that Dora spear grounding move just sends me into Wakandaland in warrior spirit!,0,0 reply,6 hours ago
169,travis osei,Most emotional teaser ever. Wakanda forever ,0,0 reply,9 hours ago
170,not too shabby,"black women empowerment in its highest form, we love to see it ",0,0 reply,1 hour ago
171,Bobby Swanson,This is the first time i’ve had chills from any marvel movie related content since endgame…,0,0 reply,10 minutes ago
172,Wojocole Shorts,"This looks INSANE. Underwater shots are incredible and that ""No, Woman No cry""/""Alright"" mix is too perfect for words. Can't wait to experience this film!",3.4K, 30 replies,1 day ago
173,Allena's little World,This trailer looks exciting ️ I watched it thrice ,0,0 reply,6 hours ago
174,Svipul Valke,"Got to admit I have so much Marvel fatigue at the moment and have been losing interest, but this trailer just HITS so well. <3",0,0 reply,2 hours ago
175,Tori Owens,I can’t even think sometimes that Chadwick has passed. I didn’t know him. But my oh my. If there was ever a person more deserving of life. I’ll never understand why the best of us are taken in the worst ways. He was amazing inside and out. And I hope he is I. The proverbial heavens smiling down on us. Gifting us with life lessons to pass on about our health and health care. Ugh. So saddening,1,0 reply,8 hours ago
176,Om Gupta,Chadwick will always be my Black Panther ... I hope we do justice to his legacy,0,0 reply,11 hours ago (edited)
177,Chopz,"Chills man, absolute GOOSEBUMPS!! And, Ive got a few ideas of who was in the Black Panther costume at the end of the trailer..",0,0 reply,11 hours ago
178,Harshal1_2ka4,The trailer is masterpiece ,0,0 reply,6 hours ago
179,Fareedah Daibu Mohammed,Can't wait to watch ️,1,0 reply,6 hours ago
180,Makesumthin Life,"Ok, who made this trailer, cz you need to keep this guy. This trailer is great, it gives just enough and nothing more. I’m intrigued but I don’t know the entire story and I can watch the movie to find out. This is how a trailer should be.",2,0 reply,1 hour ago
181,AJ Bogue,"Chadwick Boseman gave us more than we know, I’ve watched this multiple times so far a day since it came out.",0,0 reply,3 hours ago
182,Father Platypus,"""Have i not given everything?!"" Dude, the way she deliver that line gave me chills. That line alone gives me high hopes for this movie",2.9K, 26 replies,3 days ago
183,James Bond,Gives me chills.,2,0 reply,11 hours ago
184,Chris Hunter,Gotta be one of if not the best trailers ever assembled.,1,0 reply,1 hour ago
185,darac banger,"Such a injustice,so many bad people gets to live 100 years and we lose Chadwick  unbelievable and heartbreaking,he waz and still is my favourite hero",1,0 reply,8 hours ago
186,Gabriela G,OMG this trailer is insanee!! Love it!!!!!,2,0 reply,10 hours ago
187,Christina Webb,The fact that he actually died in real life makes the blow much heavier. He was a great actor. Rest In Peace,1,0 reply,8 hours ago
188,duggy17,"Just when I was getting concerned that Marvel movies were gradually getting less worthy of investment, this looks absolutely fantastic. Also that transition into Kendrick was beautiful and sent a chill down my spine",1.7K, 64 replies,3 days ago
189,Walking in the Spirit,Just when I thought I was getting tired of Marvel they grab me back with this one.  I watched the first one 5 times in the theater.,0,0 reply,4 hours ago
