Column1;Name;Comments;Likes;Replies;Published
28;Chad Finke;And WE love when you do commercials, Ryan! Seriously, I have a playlist on my YouTube account dedicated to your gin commercials. They're funnier than SNL sketches sometimes! Keep em comin'.;1;0 REPLY;3 weeks ago
29;Mylfy Gamer;"I showed my husband Van Wielder a few years ago. He's been a real fan ever since.
I have always loved your work and I now really love what you're doing for the ""world"".
Thank you Mr. Reynolds";1;0 REPLY;2 weeks ago
30;Felish Rhodes;I think this is one of the best things ever and shows the kind of person you really are.  I can't wait to see what you do going forward.;1;0 REPLY;3 weeks ago
31;Barbara Canterbury;Ryan, you  are brilliant at what you do. Respect to you, always.;5;1 REPLY;3 weeks ago
32;Scott Campbell; you’re one of my inspirations for starting to create short form comedy commercials. Absolutely love your style and humour;5;0 REPLY;3 weeks ago
33;Rae Lynn;Ryan once again doing great things for people everywhere. I love you man!;0;0 REPLY;3 weeks ago
34;Gina ZA;Here's an open secret for you Ryan: We adore you and love watching your ads. You are the only person in the world who has figured out how to make us willingly watch ads as content. Thank you for all the joy you bring us.;0;0 REPLY;3 weeks ago (edited)
35;Chaitanya Gaikar;Ryan, You are my inspiration for comedy and story telling, love this initiative! ;0;0 REPLY;3 weeks ago
36;Stella Fanders;I love your ads. They are so entertaining, even though they are ads. Good ads are a guilty pleasure of mine and I hope I can work in the marketing industry one day. It was my dream job since high school. Keep doing what you love!;15;1 REPLY;3 weeks ago
37;Aisha Singleton;Yet, another remarkable initiative! I’ve signed up for The Group Effort Initiative. Kudos, to Ryan, Blake, their Creative Ladder co-founders and collaborators ;0;0 REPLY;2 weeks ago
38;bryce neuberger;Ryan, let me be brutally honest with you... I love your ads and watch every single one of them;8;1 REPLY;3 weeks ago
39;Tiffany Carlyle;This sounds like an amazing initiative! Thanks Ryan for making inclusion and diversity a priority. #Canadian super hero;0;0 REPLY;2 weeks ago
40;Randi Bee;I'm so impressed by everything you do man, really cool stuff that you are creating to share with the world ;1;0 REPLY;3 weeks ago
41;Robert Spratford;When my world feels like it's all messed up, Ryan is my man! I hope I get to meet you someday! ?;0;0 REPLY;2 weeks ago
42;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;Without Ryan on the internet, we are just probably enjoying fiddling our fingers, such a genius,;2;0 REPLY;3 weeks ago
43;Real Workouts For Real People;"And this is why Canada Loves Him Back. 
Just an all-around good guy, this bloke is.";3;0 REPLY;3 weeks ago
44;paladonis;"Wish we had more of this stuff when I was younger. I grew up doing stage acting, mostly at school, from the 4th grade through a single college performance before dropping out of Community College. I LOVED it. I was always young enough looking to play younger roles. Imagine getting to play a 15 yr old boy, playing a female part, in a story about Shakespeare's life (A cry of Players) when you are 18. Lots of fun. I did a ton of technical theater too. Lights, sound, was a stage manager on several occasions. But, grew to tell myself I didn't fit the ""body type"" and moved away from it. Got a little of it back when I gave education talks at an Aquarium I worked at for 13 years, but well ya...sorry for the monologue. THANK YOU for giving today's youth a chance that I never had!";0;0 REPLY;12 days ago
45;Audrey Star17;This is so awesome to see! I love how he is amazing, and funny as hell, and still manages to walk the walk...also...love the 'LFG' in the description :-)!;0;0 REPLY;2 weeks ago
46;Epiphil FPV;Thank you. I'm an old school A2 Audio engineer/stage hand. Amazing job and people passionate in their careers. This is a beautiful thing Ryan. Thank you. Working your passion means you never work again. This is a promise!;1;1 REPLY;2 weeks ago
47;Creative Director Studio;Creative Ladder sounds like an awesome initiative and something that aligns with our channel. We love the focus on inspiring more inclusivity in creative arts.;0;0 REPLY;2 weeks ago
48;Stew Arts;As a Creative Director i can say ...good on you Ryan. excellent logo i might add;3;0 REPLY;3 weeks ago
49;TheLostAge;Ryan is not o ly funny, smart and gorgeous, but also seems to have a great heart ?  impossible not to love him;3;0 REPLY;3 weeks ago
50;??????@ ^?????? ???? ??????K #??#??;Ryan, your “mini-movies” are the best and pretty inspiring! ;0;0 REPLY;3 weeks ago
51;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;I love filmmaking and the process behind it, as much as I love being an actor, so I'll definitely check it out;1;0 REPLY;3 weeks ago
52;Devin Johnson;I’m totally looking to see if there is a local program in my city! This program sounds awesome helping people improve their talents and climb to higher heights along the way!;0;0 REPLY;2 weeks ago
53;Alto Burger;I love your enthusiasm for the industry... It's just a shame that so many of the people in all those other jobs you describe take heavy amounts of drugs and alcohol just to get through the day while the actor/s usually roll up late forcing everyone into overtime on nearly every single shift. I had to leave production and go into broadcast. Less overtime, more time with the family and everyone you work with (apart from the standard hierarchy in any industry) is on a level playing field. 200 people aren't forced to lose sleep and have anxiety and stress piled on top of more anxiety and stress because 1 person decided to turn up late.;1;0 REPLY;3 weeks ago
54;Moreno Franco;"Good on you, Ryan. We need more people with some ""humanity"".";1;0 REPLY;2 weeks ago
55;Jonathan McConnell;I was an American minority in England, I hope one of these jobs is open to me.;4;0 REPLY;3 weeks ago
56;Lily Quinn;I love filmmaking and the process behind it, as much as I love being an actor, so I'll definitely check it out;7;1 REPLY;3 weeks ago
57;??WATCH MY LAST VIDEO??;Ryan, your “mini-movies” are the best and pretty inspiring! ;0;0 REPLY;3 weeks ago
58;??WATCH MY LAST VIDEO??;Just when I thought I couldn't love this guy any more... He goes and does this!;0;0 REPLY;3 weeks ago
59;INSIDE THE SHOWS;Can't wait to hear more about #CreativeLadder! I'd love to help out however I can. Working behind-the-scenes is hard work but never dull!;0;0 REPLY;2 weeks ago
60;F.B.I.;That feeling when a 5 min add by Ryan Reynolds is more entertaining than a 2 hour movie.;1;0 REPLY;3 weeks ago (edited)
61;Evil Black Cat;Full credit for creating new jobs, however, wouldn't it be so much better to hire people not because of what they are but how good they are at the job regardless of any immutable characteristics?  I'd hate to be told I've only gotten a job over another person not because I'm more qualified for that role but because of what's between my legs or the color of my skin.;4;0 REPLY;3 weeks ago
62;GEEK WEEZ;This is a great initiative!  Although I can see it's really hard to make a serious conversation whenn you expect from this channel something hilarious! :D;0;0 REPLY;2 weeks ago
63;Miss-- Go To My ChanneI! L!VE NOW;Ryan, your “mini-movies” are the best and pretty inspiring!;0;0 REPLY;3 weeks ago
64;Paivi Project;That is fantastic. I love it. Congratulations ;4;0 REPLY;3 weeks ago
65;uhavemooface;Ryan Reynolds is being awesome again and again. Way to go Ryan. I really want more of you and mini Ryan Walker Scobell soon. You both should be in another movie soon.;0;0 REPLY;2 weeks ago
66;Karen Spellings;"This is really truly freaking awesome!!!!
 I mean bringing those two together to collaborate and bring a non-profit to those who are coming up 
students who have serious skills that need mentorship 
this is awesome";0;0 REPLY;2 weeks ago
67;Leigh Adamson;Awesome work all around Ryan! Thank you for all that you are doing.;1;0 REPLY;3 weeks ago
68;Darien LeLeux;As someone who just graduated for VFX, this is a really amazing thing!;0;0 REPLY;3 weeks ago
69;Bittersweet Guitarist;I have never skipped any video of Ryan till now. Never.;3;0 REPLY;3 weeks ago
70;??WATCH MY LAST VIDEO??;Ryan, you're just about the greatest... keep up the great work!;0;0 REPLY;3 weeks ago
71;NOMO Films;Love your work and this initiative so much!!! Tell your camera/crew peeps that the cuts are hopping the line and we can see you reading the teleprompter. Just some friendly creative feedback from a fellow Canadien (also the audio when the founders part comes in is overdubbed). Going to creativeladder now! :);0;0 REPLY;3 weeks ago
72;Zavier Jacobs;This is what fame should be used for, each one teach one.  Thank you Captain Canada!!!! Real Supa Hero this guy;1;0 REPLY;3 weeks ago
73;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;Ryan never ceases to amaze me!;1;0 REPLY;3 weeks ago
74;seamus hellforge;I love the ads you make XD they're hilarious. Make sure to drink responsibly, stay safe y'all.;5;1 REPLY;3 weeks ago
75;LadyLeomon;"I think we can all agree that this man would be at the very top of any Creativity Ladder 

Always a Fan and please stay safe Mr Reynolds ";3;2 REPLIES;3 weeks ago
76;Victoria ????**?? ?? - ?????? ???? ?????????????;Ryan, your “mini-movies” are the best and pretty inspiring!;0;0 REPLY;3 weeks ago
77;??WATCH MY LAST VIDEO??;Ryan, you're just about the greatest... keep up the great work!;0;0 REPLY;3 weeks ago
78;Paulus V;Ryan would win every Academy Award of best ad if they existed;3;1 REPLY;3 weeks ago
79;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;Ryan never ceases to amaze me!;1;0 REPLY;3 weeks ago
80;Tchrina Hudson;Oh my gosh I am so excited for this that I feel like I am about to burst. I hope I can find a way through this incredible opportunity to do what I have always wanted. Thanks Mr. Reynolds.;0;0 REPLY;2 weeks ago
81;J Doohan;"How wonderful. Just this year I started a role as a 3D Art Director. People skills and personality count for a lot too. 

Short story, had a student call the business the other day asking about internships. I turned to my manager and asked, hey do we do internships? Not at the moment came the reply... I relayed this to the young man adding, thanks for your call, great initiative. We all know how hard it is to get an ""in"" somewhere. So anything that can help people without connections form them, all the better I say! Bravo Ryan et al.";0;0 REPLY;5 days ago (edited)
82;Prisilla Cope;"My 12 yr. old daughter LOVES RR!! His sarcasm! How good of a person he is!! How good of an actor he is!! (She said not to post this, soooo embarrassing!!!!! I'd go to one of his Meet n Greets though. 
I found this through the Design Taxi newsletter I receive. Bravo to you!! Thank you!! Raising a family as a young mother, I was unable to immerse myself in the creative.......I haven't given up and hope to be able to work through this and make opportunities work for myself and my family!!";1;0 REPLY;3 weeks ago
83;Rae?your non favorite person ???;I love all the work you are doing. At 44 I just started Film School after years in the Army and will definitely be checking it out. Thank you again for been the amazing person you are.;0;0 REPLY;3 weeks ago
84;Aussie Aquatic;Ryan giving back so much to the World...........like Green Lantern, but for Everyone :);3;0 REPLY;3 weeks ago
85;Elizabeth Dubinsky;I love they're doing this! It's going to help so many students get their foot into the door and dream jobs come true!;0;0 REPLY;5 days ago
86;The Voice Ex;Honestly I loved watching his ads as much as I loved Deadpool, he is truly an Artist and Entertainer;1;0 REPLY;3 weeks ago
87;PTG Fern;WOW, #Creativeladder looks fantastic. Godspeed to all those who love this industry as much as you take advantage of the opportunity you all are creating. ;0;0 REPLY;2 weeks ago
88;Leo B;Ryan, keep up the good work.   <3    I can't wait until Mint Mobile can finally be in Canada!;1;0 REPLY;3 weeks ago
89;Desire DeCove;I love this- making these careers available to all who are interested;0;0 REPLY;8 days ago
90;Steve;"Sorry I really like you Ryan but no. There is already ""inclusivity"" in the workforce. POC are already represented equal to their demographic size. Anything which considers the tone of your skin, a prerequisite in hiring/training is racist.";5;0 REPLY;3 weeks ago (edited)
91;Rambles;This is awesome :) gives people opportunities to show their skills and learn on top of that.  10/10 world needs more of these things around.;0;1 REPLY;2 weeks ago
92;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;I love how he’s telling the lighting department to be kind when he hasn’t aged a day in the last 20 years. ;1;0 REPLY;3 weeks ago
93;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;Ryan, let me be brutally honest with you... I love your ads and watch every single one of them;1;0 REPLY;3 weeks ago
94;jan michael robles;if someone ever dared ryan to do an hour show of stand up comedy on the spot. i bet he could pull it of. he doesn't need to write jokes. it's his native language. ;1;0 REPLY;3 weeks ago
95;RBE TV;So excited for this! Thanks, Ryan!;3;0 REPLY;3 weeks ago
96;Liz ! 25 y.o - check my vidéó;Ryan, your “mini-movies” are the best and pretty inspiring!;0;0 REPLY;3 weeks ago
97;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;Ryan, let me be brutally honest with you... I love your ads and watch every single one of them;1;0 REPLY;3 weeks ago
98;xCurlyFry;Ryan, you're a true legend!;1;0 REPLY;3 weeks ago
99;Bill;This should be titled, Ryan goes woke...?;5;1 REPLY;3 weeks ago
100;NATALI- ??T[A]P Me!! to Have [??]???? With ????;Brilliant idea Ryan! This is exactly what’s needed to inspire the youth in the remote communities up here in the Northwest territories.;0;0 REPLY;3 weeks ago
101;Ozzol Doshadda;This man is doing so much for so many people;2;0 REPLY;3 weeks ago
102;DoctorX17;Ryan, you're my favorite celebrity and one of my favorite humans of all time. Keep being amazing and awesome~<3;0;0 REPLY;2 weeks ago
103;Toya Diinae;"Ryan, we love you enough to sit through and listen to what you advertise and of what you give a PSA! Thank you
And now I have a heads up about Creative Ladder, where I otherwise wouldn't even click to watch or just hit SKIP, if it automatically came on YouTube.";2;0 REPLY;3 weeks ago
104;??WATCH MY LAST VIDEO??;Ryan, your “mini-movies” are the best and pretty inspiring! ;0;0 REPLY;3 weeks ago
105;CallousCoder;"Yes the work is fun… when there aren’t idiotic producers and directors (most of them are absolute idiots). And when they’d pay the creative people as good as Hollywood actors. But we generally earn a mere tip for the 12-16 hour days we run!!!
I’m so glad that I also have a degree in something sensible (EE and CS).
Because those degrees and work in IT always kept me in work and the money — and ultimately also got me into TV and eventually Film (unlike most people who actually study film).";5;1 REPLY;3 weeks ago (edited)
106;andy palin;You never know when Ryan is being serious ...hardly ever! ;0;1 REPLY;13 days ago
107;Curtis Weller;You’re so cool Ryan, even if you are Canadian!  I know that I will be in the tiniest minority here when I say that I prefer your less explicit dialogue. I expect explicit responses, rather ironically. Anyhow, love your work!;0;0 REPLY;2 weeks ago
108;Starbound;Ryan Reynolds makes advertisements enjoyable, something I never thought would be possible.;0;0 REPLY;3 weeks ago
109;Thor Julson;Ryan, you’re an awesome person! I appreciate your create;1;0 REPLY;3 weeks ago
110;Toast Boi;Ryan Reynolds really be that dude that makes you forget you're watching an ad. Real truth here, he's the only one whose ads I watch all the way through.;0;0 REPLY;3 weeks ago
111;Hansy;Forced diversity is ruining movies and tv-shows. Because people get hired because of their ethnicity and not because they fit the role;4;0 REPLY;3 weeks ago (edited)
112;Neta McKinney;Sir. You are amazing. Your Canadian is showing!  Strangely enough I’ve always found the foley artist to be fascinating. True crafters at their best!;0;0 REPLY;2 weeks ago
113;Jenifer R.;The fact that I am one of millions who happily subscribe to a channel that pretty much just shows me ads says a lot about people responding positively to a well crafted commercial.  I hope this leads to a complete global takeover of the advertising industry.;0;0 REPLY;3 weeks ago
114;Elaine B;Sounds interesting for creative types. To be honest, I just watched because it’s Ryan! Why can’t this man be cloned and sent to every middle aged lady??? Come on science geeks, get this sorted please!!;2;1 REPLY;3 weeks ago
115;Evelyn Zoey;biggest issue is how everyone's bills and cost of living rises drastically but pay and opportunity decreases. Don't understand how they expect the average person to survive at all.;8;9 REPLIES;3 weeks ago
116;??**???? Me! Check ???? ??????????le !Lou;Ryan, your “mini-movies” are the best and pretty inspiring!;0;0 REPLY;3 weeks ago
117;John Randle;Well done Ryan and his Team, Well Done!;1;0 REPLY;3 weeks ago
118;ICE STATION ZEBRA ASSOCIATES;That's awesome. We need more people like  Ryan in the world ;1;0 REPLY;3 weeks ago
119;DigsInDirt;What a great concept!  I hope #CreativeLadder is a huge success.  We need this kind of art in our lives.;0;0 REPLY;2 weeks ago
120;Spellbinder;Great job Ryan!;6;1 REPLY;3 weeks ago
121;ranjeet singh choudhary;Your ads contain more creativity then many movies ?;0;0 REPLY;2 weeks ago
122;??WATCH MY LAST VIDEO??;I love how he’s telling the lighting department to be kind when he hasn’t aged a day in the last 20 years. ;0;0 REPLY;3 weeks ago
123;Lauren Youngs;Thank you for all you do you're always trying to help people.;0;0 REPLY;2 weeks ago
124;RCESMR;Absolutely fantastic! I'm in 100%!;1;0 REPLY;3 weeks ago
125;??WATCH MY LAST VIDEO??;Nice! Never really knew this! And I am really excited for where the Creative Ladder will go!;0;0 REPLY;3 weeks ago
126;Carl Witt;"At first I thought this was a chance for me to finally do something with my talents and maybe break into the business.
But unfortunately, this is just another organization that will be biased towards me simply because of my race and sexual orientation.
There should be laws in place to prevent such bigotry.";4;6 REPLIES;3 weeks ago
127;k p;The way this man is my fantasy shouldn’t exist! He literally living his day to day life not knowing we but to him;0;0 REPLY;2 weeks ago
128;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;Ryan, let me be brutally honest with you... I love your ads and watch every single one of them;0;0 REPLY;3 weeks ago
129;angela clark;Love you Ryan. Always make me laugh. You're an idiot, but funny. ;0;0 REPLY;2 weeks ago
130;April Stevens;Ryan you are a comedic genius and great husband and Dad. Read an article that you and Blake are expecting your third child. Congratulations ;0;0 REPLY;2 weeks ago
131;Bethel Uktu;Even with the current dip in crypto currency's I'm glad I can smile back at my portfolio of $107,000built from my weekly trading I have received my sixth withdrawal which is  every 14 business days per trade investing through expert Mr Arjun B Jagat;21;23 REPLIES;7 days ago
132;nkr dinla;Well done Ryan and team, sounds like an amazing non-profit that will help people with their creative goals;0;0 REPLY;2 weeks ago
133;?? KILLER_GMA ??;he’s so funny and exudes such a sense of being down to earth that it doesn’t matter what he appears in, people are drawn to it …who knew so many would click to watch a commercial AND ENJOY IT;1;0 REPLY;3 weeks ago
134;Diary Of Rishi Raj Mitra;Being a self taught motion designer and an editor from India, trying to climb up the ladder in any industry is tough. This is genuinely something really nice. I would love to look into it.;0;0 REPLY;2 weeks ago
135;JayMar;What are underrepresented communities?;3;0 REPLY;3 weeks ago
136;Tia-??**?? ?? - ??????? ???? ????????????;Ryan, your “mini-movies” are the best and pretty inspiring!;0;0 REPLY;3 weeks ago
137;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;Ryan, let me be brutally honest with you... I love your ads and watch every single one of them;0;0 REPLY;3 weeks ago
138;Bonita Witbooi;And I love your AD's ...I think I just love seeing you...you are so funny and original... I've never loved watching ads,who does,but I look forward to yours... I'm interested,my son has a Sense of humor like your he used to feel so weird but then I told him about you and now he doesn't feel so weird anymore.;1;0 REPLY;3 weeks ago
139;1NFINIT3;I love how Ryan is literally being himself and he's still as psychotic as Deadpool;0;0 REPLY;9 days ago
140;Misha Charoudin;This escalated quickly;4;3 REPLIES;3 weeks ago
141;Elevation Zy;Without Ryan on the internet, we are just probably enjoying fiddling our fingers, such a genius,;0;0 REPLY;3 weeks ago
142;Shuwayne101;This is increditable I so want to learn and utilize this incredible opportunity to grow;0;0 REPLY;3 weeks ago
143;Maira Thorn;Wow... What a great initiative!! Are those training gonna be for international ppl or only limited to USA citizens?;1;0 REPLY;3 weeks ago (edited)
144;???? ??????;Ryan, your are the best and thank you for using your talent to improve the world and bring it some humor.;0;0 REPLY;2 weeks ago
145;KirasNote;He... He does everything.... Ryan has helped develop so many different businesses and organizations. While somehow getting us all hype about everything he does... Ryan, you've been practicing blood magic or some voodoo stuff haven't you. Why does this keep working?;0;0 REPLY;3 weeks ago
146;JD Jr;Ryan, you’ve had my respect until this point. Not sure why you decided to join the woke ladder but I  must say I’m extremely disappointed. An individual’s opportunities and merits do not stem from their ethnicity, race, or background. Catering to a subset of people based on those parameters is inherently racist and discriminatory. The ignorance meter across the world and internet is just out of control. I’ll leave you with this thought: Would it be good and prudent to have a special “ladder” for conservative, underprivileged, Caucasian’s (or really any other collective for that matter)?;5;1 REPLY;3 weeks ago (edited)
147;Marilyn Elliott;THANK YOU  RYAN FOR BEING PART OF THIS INITIATIVE ;0;0 REPLY;2 weeks ago
148;Sgtchief Apone;This man is a true legend, hero, all round biggest heart nice guy. Can we not duplicate this man to make the world 10 fold better?;0;0 REPLY;2 weeks ago
149;CheeseFactory42;This guy has such a big heart, it's unbelievable! Not only is he a great comedian & actor, he's a humanitarian.;1;0 REPLY;3 weeks ago (edited)
150;Greeshma Sujith;This is his most simplest ads ( just an ordinary one ) but still I watched it like it's your interview rayan ;2;0 REPLY;3 weeks ago
151;Josh Vespo;Definitely looking into this. This is awesome!;1;0 REPLY;3 weeks ago
152;Rainee McGrew;WOW - being that I am in marketing, this is humbling and I would love to be part of it.;0;0 REPLY;3 weeks ago
153;CJ C;This is an awesome opportunity!! Ryan is awesome!;0;0 REPLY;3 weeks ago
154;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;Yes Ryan we know you love ads, and we love to watch them (well yours) ;0;0 REPLY;3 weeks ago
155;Kim C;At every turn Ryan Reynolds gives me more reasons to LOVE him!;0;0 REPLY;2 weeks ago
156;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;It's because of his personality we're watching everything Ryan posts.;0;0 REPLY;3 weeks ago
157;Fumetsu No;This right here is something I could totally get behind.  Bringing light and opportunity to those folks who otherwise might not have it.  That is if it was being backed by Hugh JackMan.....;0;0 REPLY;3 weeks ago
158;KickAssNutrition;"YOU, my fellow Canadian, are awesome.  This is a Fantastic idea!!
Thank you for finding soo many creative ways to give back & support others ?";2;0 REPLY;3 weeks ago
159;Amirhossein Mohammadzadeh;"Hello Ryan .
I am Amir from Iran. I saw a lot of your works and I was happy with them. I am 19 years old and I was born on October 26 like you. I am very happy that I was able to tell you this. I wish I could tell you in person but ... important No. Be more successful than you are. You are doomed to success. I love you forever. ";0;0 REPLY;3 weeks ago
160;David & Ron Brothers;You got it Ryan! Just donated. Love the cause.;0;0 REPLY;2 weeks ago
161;rana venenosa de dardo;He took his humor and nailed it with the quick puns, he knows how to have people sit thru a 30 sec ad just by being him...that's hard and definitely unheard of with these big corporations... everything this man gets he deserves..bottom line;0;0 REPLY;3 weeks ago
162;Antonio Estarke;God Bless you sir! I left the military not knowing where to go and what to do with my infantry title. It took me 18 yrs to make my dream come to and go to Full Sail University and graduate. It's been 2 yrs since I've been unemployed, with over 3k applications sent. I'm giving up hope in ever getting there but this initiative is definitely a new potential door. Thank you so much and BTW your zipper is unzipped. ;0;0 REPLY;3 weeks ago
163;Coach Craig Rowe - OzSwoosh Basketball;Love the Creative Ladder Logo, very creative. It looks like a ladder. How do they do it?;0;0 REPLY;3 weeks ago
164;Arun S P;Whoever designed the logo of Creative Ladder making a ladder with the A's is a genius. Like I have no idea how anybody can come up with that!;0;0 REPLY;2 weeks ago
165;Drayfon;Damn they seem pretty serious involving Deloit as their consulting firm, hope it becomes successful;1;0 REPLY;3 weeks ago
166;REMEMBER Demon;gotta keep up the grind on liking every one of his videos;2;0 REPLY;3 weeks ago
167;Oaken Shadow;Thank you for caring about people. I want behind the scenes on these ads. See the people that make it possible.;0;0 REPLY;3 weeks ago
168;L?i?n?a? C?h?a?tT ? -m?e?- ??t@p;Ryan Reynolds - that only person who can advertise advertisements and make me want to watch them, every.single.time.;0;0 REPLY;3 weeks ago
169;Stephanie_S_777 AfterDarkParanormal;He is just hysterical!!! LOVE HIS ADS!!!!;2;0 REPLY;3 weeks ago
170;Jason Chastain;Super awesome!!!! I hope this is extremely successful!!!!;0;0 REPLY;3 weeks ago
171;Muggy;Love the ads and the program sounds awesome. Thanks Ryan!;0;0 REPLY;3 weeks ago
172;Simantali Battise;The only person I know that’s made me appreciate the work that goes into ads;0;0 REPLY;3 weeks ago
173;Ebbie;This is so amazing and exciting. ?;0;0 REPLY;2 weeks ago
174;??WATCH MY LAST VIDEO??;It's because of his personality we're watching everything Ryan posts.;0;0 REPLY;3 weeks ago
175;Think Pad;For those who think they know all about Ryan's talents I ask this. Have you seen his best movie ever called >> School of Life?  Cheers !;0;0 REPLY;3 weeks ago
176;_ Yeager;Making Canadians proud, thank you Ryan Reynolds.;0;0 REPLY;3 weeks ago
177;Amanda Lang;And this is just one of the many reasons why we love you, Ryan. ;0;0 REPLY;2 weeks ago
178;Hel n Bak;"Can you be any more of a beautiful human 
Thank you to you and your fabulous team for thinking about and making the world a more equal and better place.";0;0 REPLY;2 weeks ago
179;Cindy Neff;This is amazing! I'm checking it out now.;0;0 REPLY;3 weeks ago
180;kiaohmichi;Amazing! I wish I had that growing up;0;0 REPLY;2 weeks ago
